text,body_len,punct%,cap_count,has_link,clean_text,label
Going on nothing great.bye,26,4.35,0,0,go greatbye,ham
I wont. So wat's wit the guys,29,8.7,0,0,will not wat wit guy,ham
Ok k..sry i knw 2 siva..tats y i askd..,39,19.35,0,0,ok ksry knw 2 sivatat y askd,ham
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,154,7.63,0,0,stand away not heart ache not wonder not crave,ham
Have you not finished work yet or something?,44,2.7,0,0,finish work,ham
Hhahhaahahah rofl wtf nig was leonardo in your room or something,64,0.0,0,0,hhahhaahahah rofl wtf nig leonardo room,ham
WOT U UP 2 J?,13,11.11,3,0,wot u 2 j,ham
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",169,6.62,0,0,hiya sorry not hav signal not see hear unusual ill case sort hug snog,ham
We r outside already.,21,5.56,0,0,r outside,ham
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",158,6.57,4,0,free nokia motorola upto 12mth 12price linerental 500 free xnet mins100txtmth free btooth mobileupd8 08001950382 2optoutd3wv,spam
How is your schedule next week? I am out of town this weekend.,62,4.0,0,0,schedule week town weekend,ham
"Goodmorning, today i am late for 1hr.",37,6.45,0,0,goodmorning today late 1hr,ham
"Dizzamn, aight I'll ask my suitemates when I get back",53,4.55,0,0,dizzamn aight ill ask suitemate,ham
Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.,142,2.59,0,0,sit wait summer day celebrate magical sight world dress white oooooh let snow,ham
Pls call me da. What happen.,28,8.7,0,0,pls da happen,ham
"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",152,9.45,3,0,09094100151 use ur min call cast 10pmin mob vary service provide aom gbp5month aom box61m60 1er u stop age 18,spam
Are u awake? Is there snow there?,33,7.41,0,0,u awake snow,ham
"Nope. Since ayo travelled, he has forgotten his guy",51,4.65,0,0,nope ayo travel forget guy,ham
"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",141,6.25,0,0,friendship game play word not start march end tomorrow yesterday today e,ham
Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,78,9.52,0,0,lol right diet everyday cheat m mean fatty,ham
Haha... Really oh no... How? Then will they deduct your lesson tmr?,67,14.29,0,0,haha oh deduct lesson tmr,ham
How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,134,5.26,0,0,s go get exciting karaoke type activity plan m debate play football eve feel lazy,ham
Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,144,2.52,0,0,want new video phone 750 anytime network min half price line rental free text 3 month reply 08000930705 free delivery,spam
Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,175,3.52,0,0,great get worried know wonderful caring person like good life know u r wonderful god love,ham
How did you find out in a way that didn't include all of these details,70,1.79,0,0,find way not include detail,ham
Well. You know what i mean. Texting,35,6.9,0,0,know mean texte,ham
Its sunny in california. The weather's just cool,48,4.88,0,0,sunny california weather cool,ham
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,84,2.86,2,0,ummmmmaah happy return d day dear sweet heart happy birthday dear,ham
Dad went out oredi... ,22,16.67,0,0,dad go oredi,ham
Short But Cute: \Be a good person,33,7.41,0,0,short cute good person,ham
Will Ì_ b going to esplanade fr home?,37,6.67,1,0,ì b go esplanade fr home,ham
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,86,2.7,1,0,important customer service announcement freephone 0800 542 0825,spam
Moji i love you more than words. Have a rich day,48,2.63,0,0,moji love word rich day,ham
I will be outside office take all from there,44,0.0,0,0,outside office,ham
That one week leave i put know that time. Why.,46,5.41,0,0,week leave know time,ham
yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,142,2.61,0,0,yeah sure thing mate haunt get stuff sort m go sound promote hex way not know number joke,ham
Huh but i cant go 2 ur house empty handed right?,48,2.63,0,0,huh not 2 ur house hand right,ham
We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,73,5.08,0,0,watch movie xy want 2 shop m shop w,ham
Do I? I thought I put it back in the box,40,3.33,1,0,think box,ham
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,86,2.7,1,0,important customer service announcement freephone 0800 542 0825,spam
"I know where the  &lt;#&gt;  is, I'll be there around 5",55,16.28,0,0,know ill 5,ham
I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,66,13.21,0,0,want sent mesage today s y sorry hurt,ham
Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,147,1.79,0,0,hi baby ve get work want u allday hope not piss u phone today u xxx,ham
He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. ÌÏ got a lot of work ar?,149,8.62,1,0,neva grumble sad lor hee buy tmr lor aft lunch meetin 4 lunch tmr neva hear fr lei ìï get lot work ar,ham
Yes:)sura in sun tv.:)lol.,26,26.09,0,0,yessura sun tvlol,ham
I thought slide is enough.,26,4.55,0,0,think slide,ham
Do have a nice day today. I love you so dearly.,47,5.41,0,0,nice day today love dearly,ham
Hi my email address has changed now it is ,42,0.0,0,0,hi email address change,ham
"life alle mone,eppolum oru pole allalo",38,3.03,0,0,life alle moneeppolum oru pole allalo,ham
